drug,disease
hydroxyprogesterone acetate,Uterine hemorrhage
copper,Hypersensitivity
iron polysaccharide,Iron Deficiency Anemia
caffeine,Vascular Headaches
darunavir,SARS-CoV-2
verapamil,Arrhythmia
hydroxyurea,Thalassemia
cyclosporine,"Purpura, Thrombotic Thrombocytopenic"
metformin,Hypertriglyceridemia
amlexanox,Asthma
edoxaban tosylate,Pulmonary Embolism
inebilizumab-cdon,Neuromyelitis Optica
ibudilast,Alcohol Use Disorder
codeine,Common Cold
daunorubicin liposomal,"Leukemia, Myelocytic, Acute"
oxaprozin,Juvenile arthritis
haloperidol,Psychosis
imidazole,Mycoses
tranexamic acid,Angioedema
doxycycline,Actinomycosis
famciclovir,Cold Sores (Herpes Simplex Labialis)
Terramycin,Brucellosis
clavulanic acid,Rhinoscleroma
leptin,Epilepsy
valproic acid,Hyperammonemia (disorder)
cefotaxime,Surgical Prophylaxis
acadesine,Chronic Lymphocytic Leukemia
bleomycin,Malignant Neoplasms
azathioprine,Colitis
amphotericin B,Aspergilloma
estrogens,Malignant neoplasm of lung
monoxerutin,Venous Insufficiency
Niridazole,Schistosomiasis mansoni
lamotrigine,Mood Disorders
paroxetine,Post Traumatic Stress Disorder
Insulin,Dementia
interferon alfacon-1,Hairy Cell Leukemia
olanzapine,Asperger Syndrome
sulfasalazine,Alopecia
peginterferon alfa-2a,Cryoglobulinemia
acyclovir,Pneumonia
tinzaparin sodium,Venous Thrombosis
lercanidipine hydrochloride,Stable angina
prednisolone,Rheumatism
cephalexin,Staphylococcal Infections
Opioids,Chronic back pain
griseofulvin,Onychomycosis
AB-2 compound,Neoplasms
tofacitinib,Arthritis
warfarin,Han Chinese
dantrolene,Heat Stroke
leptin,Hypothalamic amenorrhea
tizanidine,Myositis
minoxidil,Hypertensive (finding)
metharbital,Sleeplessness
ethanolamine,Esophageal Varices
dipyrone,Cancer Pain
adrenomedullin,Pancreatic carcinoma
arginine,Congestive heart failure
aztreonam,Haemophilus influenzae
fluoxetine,Prader-Willi Syndrome
loteprednol,Rosacea
paliperidone,Bipolar Disorder
tacrolimus,Malignant Neoplasms
fotemustine,Glioma
clindamycin,Cellulitis
enoximone,"Shock, Cardiogenic"
dehydrocholic acid,Incomplete passage of stool
hydracrylic acid,Klebsiella pneumoniae
caspofungin,Febrile Neutropenia
spiramycin,Streptomyces ambofaciens
valproic acid,Bipolar Disorder
olaparib,High grade serous carcinoma
estradiol 3-benzoate,Mammary Neoplasms
catechin,Condylomata Acuminata
activated charcoal,Acetaminophen overdose
tacrolimus,Autoimmune Chronic Hepatitis
calcifediol,Vitamin D Deficiency
urea,Malignant Neoplasms
doxycycline anhydrous,Campylobacter infection
metoprolol,Ischemia
isoproterenol,AV Heart Block
testosterone,Thromboembolism
bendamustine,B-cell lymphoma refractory
lactate,Endotoxic shock
iodine I-131,Thyroid carcinoma
nifedipine,Hypertensive (finding)
mitoxantrone,"Lymphoma, Follicular"
exenatide,Overweight
curcumin,Malignant neoplasm of breast
doxazosin,Prostatic Hyperplasia
hydrocortisone sodium succinate,Humoral hypercalcemia of malignancy (disorder)
cefuroxime,Acute bacterial sinusitis
relebactam,Urinary tract infection
Etoposide-Platinol Regimen,Small cell carcinoma of lung
eicosapentaenoic acid,Endothelial dysfunction
cefpodoxime,Staphylococcal Skin Infections
lactate,Sweating
bempedoic acid,American College of Cardiology/American Heart Association Lesion Complexity Score C
Erythropoietin,Refractory anemias
nitroglycerin,Chest Pain
rituximab-pvvr,B-Cell Lymphomas
clomocycline sodium,Acne Vulgaris
diazepam,Intoxication
triamcinolone acetonide,Hypercalcemia
docetaxel,Metastatic Carcinoma
fluorouracil,Carcinoma breast stage IV
iobenguane I 131,Paraganglioma
diphenhydramine,Acute urticaria
betamethasone,"Heart Rate, Fetal"
tetracycline,Rheumatoid Arthritis
amlodipine,Proteinuria
dihydroxyaluminum sodium carbonate,Heartburn
hydroxychloroquine,Vitiligo
Pyrimidine,Malignant Neoplasms
colchicine,Condylomata Acuminata
hemin,Porphyria
procainamide,Atrial Fibrillation
colistimethate,Urinary tract infection
isoniazid,Mantoux: positive
methotrexate sodium,Rheumatoid Arthritis
megestrol,"Breast Cancer, Palliative"
micafungin,Septicemia
taxane,Esophageal carcinoma
cyclophosphamide,Refractory cancer
clavulanic acid,Otitis Media
linezolid,Vancomycin resistant Enterococcus faecium
domoic acid,Macaca fascicularis
liraglutide,Fatty degeneration
griseofulvin,Sporotrichosis
sacrosidase,Digestive System Disorders
sulbactam pivoxyl,"Skin Diseases, Bacterial"
chloramphenicol sodium succinate,Meningococcal meningitis
oxygen,Status Asthmaticus
danazol,Endometriosis of uterus
tobramycin sulfate,Abdominal Infection
cytarabine,Meningeal Carcinomatosis
mephobarbital,Tonic-Clonic Epilepsy
prednisolone sodium metasulphobenzoate,Rheumatism
ipecac,Drug Overdose
ketamine,Intracranial Hypertension
ethchlorvynol,Sleeplessness
aspirin,Paroxysmal atrial fibrillation
enalapril,Diabetes
metoprolol,Middle Aged
bortezomib,Refractory Acute Lymphoblastic Leukemia
Particle,Obstruction
omaveloxolone,Friedreich Ataxia
Azoxymethane,Neoplasms
INHIBIN,granulosa cell tumor
mirtazapine,"Major depression, single episode"
rabeprazole,Stomach Ulcer (Gastric Ulcer)
estrone,Mammary Neoplasms
valproic acid,Epilepsy
pantoprazole,Erosive esophagitis
cetirizine,Seasonal rhinitis
rifapentine,"Tuberculosis, Pulmonary"
promethazine hydrobromide,"Rhinitis, Allergic, Perennial"
dexamethasone,Macular Edema
baclofen,Priapism
fludarabine,"Lymphoma, Non-Hodgkin"
givosiran,"Porphyrias, Hepatic"
povidone (K-30) simethicone emulsion,"Skin Diseases, Parasitic"
ondansetron,Vomiting
larotrectinib sulfate,Neoplasm Metastasis
omeprazole,Chronic gastritis
acetaminophen,Back Pain
citrate,"Kidney Failure, Chronic"
adalimumab-bwwd,Ulcerative Colitis
cefuroxime,Skin and Structure Infection
paclitaxel,Diabetic
propranolol,Vasovagal syncope
Linuron,Variovorax
dexamethasone,"Lymphohistiocytosis, Hemophagocytic"
dinoprostone,Fetal Death
dapsone,Bullous Pemphigoid
R-CHOP Regimen,Mantle cell lymphoma
nifedipine,"Diabetes Mellitus, Non-Insulin-Dependent"
estrogens,Infertility
Opioids,Discontinued
norfloxacin,Chlamydial urethritis
MACOP-B regimen,"Lymphoma, Non-Hodgkin"
donepezil,Amnesia
idebenone,nervous system disorder
dexmedetomidine,Hypotension
caffeine,Apnea of prematurity
dihydrocodeine,Common Cold
ephedrine hydrochloride,Asthma
arginine,Dentin Sensitivity
sapropterin,Endothelial dysfunction
fusidic acid,Pneumonia caused by Pseudomonas
clobetasol propionate,"Dermatitis, Atopic"
estradiol acetate,"Ovarian Failure, Premature"
razoxane,"Leukemia, Myelocytic, Acute"
ferrous sulfate,Vitamin/Mineral Supplementation and Deficiency
famciclovir,Herpes zoster (disorder)
ziprasidone,Delirium
Insulin,Essential Hypertension
Lincosamide Antibacterial [EPC],Bacterial Infections
penicillin G,Streptococcus agalactiae
carteolol,"Glaucoma, Open-Angle"
ceforanide,Bacterial Infections
vincristine,Colorectal Carcinoma
sirolimus,Lupus Nephritis
epigallocatechin gallate,Hepatotoxicity
losartan,"Diabetes Mellitus, Insulin-Dependent"
paroxetine,Tinnitus
gabapentin,Diabetic Neuropathies
Dichlorodiphenyldichloroethane,Adrenocortical carcinoma
Trimethoprim-Sulfamethoxazole Combination,Staphylococcus aureus
penicillin G benzathine,Empyema
betamethasone,Asthma
amphotericin B,Skin lesion
methionine,Diabetic
regorafenib,Liver carcinoma
ketamine,Absence of sensation
cefotetan disodium,Proteus Infections
cilostazol,Claudication (finding)
serotonin,Attention deficit hyperactivity disorder
oseltamivir,Resistant virus
colchicine,Fibromatosis
iron-dextran complex,"Pregnancy Complications, Hematologic"
tildrakizumab-asmn,Psoriasis
betaine,Cystitis
avibactam sodium,Pseudomonas Infections
atomoxetine,Dystonia
doxycycline,Genital infection
collagen,Severe (severity modifier)
minocycline hydrochloride,Plague
ethanol,Marines
Steroids,West Syndrome
penicillin G procaine,Gonorrhea
isoproterenol,Adams-Stokes Syndrome
pegaspargase,Chronic Lymphocytic Leukemia
dopamine hydrochloride,Kidney Diseases
copanlisib,"Lymphoma, Follicular"
cisapride,Irritable Bowel Syndrome
fluoxetine,Unipolar Depression
oxygen,Pathological accumulation of air in tissues
fondaparinux,Pulmonary Thromboembolisms
Ultra,Tuberculosis
doxorubicin hydrochloride,Uterine Neoplasms
tibolone,Climacteric discomfort
bivalirudin,Myocardial Infarction
manganese gluconate,Deficiency Diseases
glycerin,Trigeminal Neuralgia
cortisone acetate,"Lymphoma, T-Cell, Cutaneous"
allopurinol,Coronary Arteriosclerosis
esomeprazole,Peptic Esophagitis
tivozanib,Advanced renal cell carcinoma
amoxicillin / clavulanate,Upper Respiratory Tract Infection
pentobarbital,Cerebral Ischemia
cefditoren,Bacterial Infections
praziquantel,Helicobacter pylori
fluorometholone acetate,Corneal Ulcer
streptomycin,Streptococcal Infections
fenofibrate,Liver Dysfunction
ondansetron,Chemotherapy-induced nausea and vomiting
moxifloxacin,"Conjunctivitis, Bacterial"
leucovorin,Pneumocystis Pneumonia
deutetrabenazine,Tardive Dyskinesia
mitomycin,"Keratoconjunctivitis, Vernal"
alpha-tocopherol acetate,"Dyskinesia, Drug-Induced"
calcium glycerylphosphate,Hypermagnesemia
magnesium citrate,Constipation
testosterone,Major Depressive Disorder
bivalirudin,Percutaneous Coronary Intervention
methotrexate,Pancytopenia
citrate,Urolithiasis
clonazepam,Manic
tenofovir disoproxil fumarate,"Hepatitis B, Chronic"
Dihydrotestosterone,Benign Prostatic Hyperplasia
irgarol 1051,Marines
methyclothiazide,Kidney Failure
Challenge,Employer
temozolomide,Metastatic Cutaneous Melanoma
chitosan,Burn injury
morphine,Renal Colic
carisoprodol,Myositis
ceftazidime,Serratia sepsis
diclofenac,Conjunctivitis
acetate,Multiple Sclerosis
zolpidem,Primary Insomnia
betamethasone,Primary gout
penicillin g sodium,Botulism
buspirone,Nonulcer dyspepsia
anagrelide,"Thrombocythemia, Essential"
frovatriptan,Migraine Disorders
oleuropein,Malignant Neoplasms
hydrocortisone sodium succinate,Leg Dermatoses
digoxin,Kidney Failure
methotrimeprazine hydrochloride,Anxiety Disorders
diazoxide,Diabetic
clofibrate,"Hypercholesterolemia, Familial"
leflunomide,Polyarthritis
trastuzumab-zzxf,Mammary Neoplasms
talquetamab,Multiple Myeloma
betamethasone benzoate,Psoriasis of scalp
octotropine methylbromide,Peptic Ulcer
methylprednisolone,Neurologic Deficits
desonide,Dermatitis
melatonin,Sus scrofa domestica
sincalide,Gallbladder Contraction
ibrutinib,Primary central nervous system lymphoma
methscopolamine,Peptic Ulcer
oxymorphone,Chronic pain
aripiprazole,Behavioral tic
pseudoephedrine / triprolidine,Cold Symptoms
penicillin G potassium,Endocarditis
hyaluronidase,Obstetrician
olanzapine,"Alcoholic Intoxication, Chronic"
cefuroxime,Kidney Failure
allopurinol,Cardiovascular Diseases
triamcinolone,Exfoliative dermatitis
sodium salicylate,Warts
methylene blue,Cerebral Edema
Clodronate,Neoplasm Metastasis
chloroquine sulfate,"Malaria, Avian"
acetylcysteine,Myocardial dysfunction
liarozole,Psoriasis
cholesterol,"Diabetes Mellitus, Non-Insulin-Dependent"
pregabalin,Neuralgia
fentanyl,Burn injury
ketoconazole,Neutropenia
procarbazine,Lymphoma
capivasertib,Carcinoma breast stage IV
azlocillin,Haemophilus Infections
cromoglycate,Asthma
divalproex sodium,Migraine Disorders
mycophenolate mofetil,Multiple Sclerosis
phenytoin,Ventricular arrhythmia
mannitol hexanitrate,Anuria
Insulin,Hypersensitivity
buprenorphine,heroin withdrawal
levofloxacin,Staphylococcal Infections
nimodipine,Neurologic Deficits
azithromycin monohydrate,"Skin Diseases, Infectious"
eltrombopag,Refractory immune thrombocytopenic purpura
penicillin g benzathine,Bejel
atropine / pralidoxime,Nerve Agent Poisoning
factor VII,Hemophilia B
estriol,Pre-Eclampsia
mechlorethamine,Asthma
escin,Chronic venous insufficiency
sincalide,Barium Meal Transit
dexamethasone,Fever
chlorhexidine,Streptococcus
fluorouracil,keratoacanthoma
ergocalciferol,Uterine Fibroids
anisotropine,Spasm
doxycycline,Urethritis
curcumin,Psoriasis
ephedrine,Hay fever
guanabenz,Hypertensive (finding)
tamoxifen,"Fibromatosis, Aggressive"
aminosalicylic acid,Acute tuberculosis
iodine,Thyroid carcinoma
cyclophosphamide,Vasculitis
diphenhydramine,anaphylaxis
aflibercept,Macular Degeneration
aprindine,Ventricular arrhythmia
hydrocortisone aceponate,Leg Dermatoses
INHIBIN,Pre-Eclampsia
tranexamic acid,Acute upper gastrointestinal hemorrhage
amantadine,"Dyskinesia, Drug-Induced"
carboplatin,Advanced Ovarian Carcinoma
cladribine,"Multiple Sclerosis, Chronic Progressive"
norfloxacin,Haemophilus influenzae pneumonia
carboplatin,partial response
methylprednisolone sodium succinate,Hypercalcemia
calcium carbonate,Renal Osteodystrophy
Dersimelagon,Erythropoietic Protoporphyria
sorafenib,Malignant neoplasm of breast
omapatrilat,Chronic heart failure
disopyramide phosphate,Atrial Flutter
triamcinolone diacetate,Ankylosing spondylitis
sinomenine hydrochloride,Rheumatoid Arthritis
zoledronic acid,Non-Small Cell Lung Carcinoma
Gentamicins,Endometritis
hydrocortisone,"Arthritis, Psoriatic"
water,Neoplasms
dopamine,Oliguria
trovafloxacin mesylate,Bronchitis
Tobacco,Youth
selenium sulfide,Tinea Capitis
midazolam maleate,Status Epilepticus
doxycycline hyclate,Rocky Mountain Spotted Fever
acetaminophen,Intentional overdose
ziprasidone,Schizoaffective Disorder
"doxylamine succinate, (R)-",Headache
sevoflurane,Myocardial injury
methylphenidate,Malaise
tigecycline,Abdominal Abscess
pimozide,Manic
cyclophosphamide,Malignant Neoplasms
ceftriaxone,Gastroenteritis
oxygen,Acute Coronary Syndrome
telithromycin,Respiratory Tract Infections
mycophenolate mofetil,Systemic Vasculitis
levonorgestrel,Malignant neoplasm of endometrium
cefuroxime axetil,Acute bronchitis
calcitonin,Crisis
norepinephrine,Acute myocardial infarction
albuterol,"Myasthenic Syndromes, Congenital"
calcium carbonate,"Kidney Failure, Chronic"
paclitaxel,Cancer Model
ergocalciferol,Middle Aged
methotrexate,Polyarticular juvenile rheumatoid arthritis
clomipramine,Depressive disorder
dinoprostone,Missed abortion
methylprednisolone acetate,Uveitis
misoprostol,Non-viable pregnancy
neratinib,"Breast Cancer, Adjuvant"
fenoprofen calcium,Rheumatoid Arthritis
chlophedianol,"Rhinitis, Vasomotor"
Steroids,"Tuberculosis, Pulmonary"
anlotinib,Malignant neoplasm of stomach
oxyphencyclimine,Peptic Ulcer
glycopyrronium,Asthma
mitomycin,Keloid
parathyroid hormone,Hypocalcemia
verapamil,Bipolar Disorder
interferon alfa-2b,Follicular Lymphoma
carboplatin,Non-small cell lung cancer stage III
Chloromycetin,Typhoid Fever
phenylpropanolamine hydrochloride,Urinary Incontinence
oxymetazoline,Eye Redness
cyclophosphamide,Waldenstrom Macroglobulinemia
11-(2-fluoroethyl)estradiol,Glioma
fluvastatin,Diabetic
guaifenesin,Bronchitis
clavulanic acid,Sepsis caused by Staphylococcus aureus
triflupromazine,Nausea and vomiting
itraconazole,Chromoblastomycosis
sertraline,Anxiety symptoms
Insulin,Body Weight Changes
melphalan,Neuroblastoma
hydrocortisone probutate,Leg Dermatoses
mumps virus vaccine,Mumps Prophylaxis
cat's claw preparation,Wounds and Injuries
fomepizole,ETHYLENE GLYCOL INTOXICATION
mitomycin,Malignant neoplasm of gastrointestinal tract
nicotine,African American
venetoclax,Central Nervous System Involvement
amoxicillin,Respiratory Tract Infections
hydrocortisone,Rosacea
insulin isophane,Diabetic
urokinase,Septicemia
buprenorphine,Clinician
zidovudine,Injecting drug user
naloxone,Apnea
solriamfetol hydrochloride,Somnolence
zinc,Diabetic
dexbrompheniramine,Allergies
cefixime anhydrous,Gonorrhea
phosphorus,Ruminants
"cyclosporine, modified",Rheumatoid Arthritis
tamoxifen,Carcinoma
fluorouracil,Basal cell carcinoma
cisplatin,Malignant neoplasm of breast
acetaminophen,Renal Colic
"Analgesics, Opioid",Opioid Use Disorder
piperacillin,Obesity
wound care,Diabetic foot ulcer
natamycin,Conjunctivitis
clotrimazole,Oral candidiasis
rabeprazole,Multiple Endocrine Neoplasia
pyriproxyfen,Malaria
cidofovir,Cytomegalovirus
chloramphenicol,Streptococcus pneumoniae
nitazoxanide,Gastroenteritis
fendiline hydrochloride,Cardiac Arrhythmia
zoledronic acid,Malignant neoplasm of prostate
mitoxantrone,"Leukemia, Myelocytic, Acute"
chlorhexidine hydrochloride,Gram-Positive Bacterial Infections
calcitriol,Hypocalcemia
oxtriphylline,Bronchitis
levofloxacin,Pyelonephritis
bimatoprost,Glaucoma
interferon alfa-2b,Hemangioma
tetrahydrozoline / zinc sulfate,Eye Redness/Itching
fluticasone propionate,Granuloma Annulare
cyclosporine,Autoimmune hemolytic anemia
donafenib,Liver carcinoma
chloroquine,melanoma
naltrexone,Cocaine Dependence
imipramine,Depressed mood
ceftriaxone,Peptostreptococcus infection
cyclophosphamide,Indolent Non-Hodgkin Lymphoma
arginine,Pre-Eclampsia
busulfan,Lymphoma
hydrocortisone acetate,Facial Dermatoses
VM-26,Small cell carcinoma of lung
penicillin g benzathine,Streptococcal Infection
Insulin,Hypoxia
amphotericin B liposomal,"Candidiasis, Chronic Mucocutaneous"
Pen VK,Streptococcal sore throat
eptifibatide,Myocardial Infarction
pristane,Plasmacytoma
prazosin,Congestive heart failure
pravastatin,Dyslipidemias
itraconazole,Cryptococcosis
Opioids,MISUSE
nitroglycerin,Pulmonary congestion
tigecycline,Legionellosis
flecainide,Paroxysmal atrial flutter
Carbapenems,Pseudomonas aeruginosa infection
tobramycin,Bacterial conjunctivitis
tretinoin,Skin Wrinkling
isoxsuprine hydrochloride,Arteriosclerosis
melatonin,Liver diseases
"3,4-dihydroxyphenyllactic acid",Reperfusion Injury
salicylate,Reye Syndrome
leucovorin,Stage III Colon Cancer
vinblastine sulfate,Mammary Neoplasms
procarbazine,"Lymphoma, Non-Hodgkin"
lamivudine,HIV Seropositivity
arginine,Pancreatitis
etoposide,Refractory cancer
clonazepam,Cluster-Tic Syndrome
torsemide,Congestive heart failure
lamotrigine,"Depression, Bipolar"
dexamethasone,Iridocyclitis
Gentamicins,Chinchilla <Chinchillidae>
hydralazine hydrochloride,Pulmonary Hypertension
isradipine,Hypertensive (finding)
tacrolimus,Transplanted organ rejection
azathioprine sodium,Ulcerative Colitis
bupropion,"Gambling, Pathological"
fotemustine,Glioblastoma
magnesium citrate,Drug Overdose
oxymetazoline,Sinusitis
silicon dioxide,Dyspepsia
albuterol,Acute bronchiolitis
"griseofulvin, ultramicrocrystalline",Tinea Capitis
Cannabinoids,Behavioral and psychological symptoms of dementia
cefuroxime sodium,Klebsiella Infections
rifampin,Bacteremia
palbociclib,Carcinoma breast stage IV
rosiglitazone,Fatty Liver
Steroids,Alopecia Areata
bleomycin,Verrucous Lesion
acetylcysteine,Functional disorder
dopamine,Low Cardiac Output
cromolyn sodium,Atopic rhinitis
colchicine,Reactive systemic amyloidosis
levothyroxine,Thyrotoxicosis
diloxanide furoate,Amebic colitis
edetate calcium disodium,"Lead Poisoning, Severe"
irinotecan hydrochloride,leukemia
Carbon,Lattice
prednisolone,"Lupus Erythematosus, Systemic"
tacrolimus,Steroid-resistant nephrotic syndrome
borage oil,Deficiency Diseases
bacitracin / polymyxin b,Blepharitis
nitroglycerin,Myocardial Ischemia
methotrexate,Scleroderma
levetiracetam,"Epilepsy, Generalized"
fluorouracil,Ascites
valdecoxib,Primary dysmenorrhea
podofilox,Warts
lamotrigine,Central pain
azacitidine,"Leukemia, Myelomonocytic, Chronic"
epinephrine,Bradycardia
acetylcarnitine,Deficiency Diseases
argipressin,Hyponatremia
vincristine,Rectal Carcinoma
sodium chloride,Chronic heart failure
somatropin (recombinant DNA origin),Heart failure
hydrogen peroxide,Oral and Dental Conditions
milrinone,Congestive heart failure
clonidine,Post-Traumatic Stress Disorder
triamcinolone,Keloids
cortisone,Berylliosis
fostemsavir,HIV Infections
ibuprofen,Arthropathy
metoprolol,Premature ventricular contractions
acetylcysteine,Acquired Immunodeficiency Syndrome
pimobendan,Diseases of mitral valve
etretinate,keratoacanthoma
morphine,Kidney Failure
levodopa,Hypotension
duloxetine,Diabetic Neuropathies
cefepime,Fever
diclofenac,Arthritis
betaxolol,"Glaucoma, Primary Open Angle"
valproic acid,Idiopathic generalized epilepsy
ciprofloxacin lactate,Otitis Externa
lumacaftor,Cystic Fibrosis
oxymatrine,Acute Lung Injury
vincristine,Down Syndrome
metformin,cell injury
posaconazole,Invasive aspergillosis
cefaclor,Pharyngotonsillitis
tolbutamide,Diabetic
osthol,Malignant Neoplasms
sulpiride,Tardive Dyskinesia
cefotaxime,"Gonococcal Infection, Disseminated"
Hexamethonium,Bradycardia
Endostatins,Malignant neoplasm of stomach
imiquimod,human papillomavirus
dopamine,"Kidney Failure, Acute"
ardeparin sodium,Venous Thrombosis
olaparib,Malignant Neoplasms
edetic acid,Kidney Diseases
paclitaxel,Fever
prednisolone acetate,leukemia
cimetidine,Duodenitis
olmesartan medoxomil,Diabetic Nephropathy
metformin,Heart failure
estriol,Multiple Sclerosis
clofazimine,Vitiligo
nimodipine,Cerebrovascular accident
cephalothin,Bacterial infection caused by Klebsiella pneumoniae
cinacalcet,Hyperparathyroidism
trastuzumab-anns,Mammary Neoplasms
dexrazoxane,Cardiotoxicity
mitomycin,Recurrent Carcinoma
dexamethasone,Typhoid Fever
gemcitabine,leukemia
methylphenidate,Obesity
resveratrol,Memory impairment
toluene,Pseudomonas putida
Challenge,Senility
fluoxetine hydrochloride,Panic Disorder
oxytetracycline,Bacterial conjunctivitis
methotrexate,Small cell carcinoma of lung
Dexrabeprazole,Gastric ulcer
erythromycin,Gram-Positive Bacteria
diflorasone,Facial Dermatoses
benorilate,Rheumatoid Arthritis
ergonovine,Postpartum Hemorrhage
paroxetine,Generalized Anxiety Disorder
acetaminophen,Chronic pain
eribulin,Carcinoma breast stage IV
lenvatinib,Thyroid Neoplasm
infigratinib,Cholangiocarcinoma
ranolazine,Diastolic dysfunction
Dehydroepiandrosterone Sulfate,"Diabetes Mellitus, Non-Insulin-Dependent"
ampicillin,Salmonella carrier
finasteride,Malignant neoplasm of prostate
methacholine,Atopic rhinitis
hydrocortisone,Unipolar Depression
flecainide,Paroxysmal atrial fibrillation
zidovudine,AIDS with Kaposi's sarcoma
zoledronic acid,High-Risk Cancer
warfarin sodium,Thromboembolism
oxytetracycline,Gram-Positive Bacterial Infections
lithium,Unipolar Depression
acetylcysteine,Fatigue
olanzapine,Insulin Sensitivity
aspirin,Cardiovascular event
zidovudine,Lymphoma
sunitinib,Paraganglioma
conivaptan,Heart failure
ceftriaxone sodium,"Bone Diseases, Infectious"
ammonium lactate,Pruritus of genital organs
metformin,Pulmonary Fibrosis
artesunate,Psoriasis
beta-Glucans,Colorectal Carcinoma
Steroids,Kidney Diseases
chlorzoxazone,Myositis
folic acid,Endothelial dysfunction
cephalexin monohydrate,Pharyngitis
amphotericin B,Invasive aspergillosis
carboxymethylcellulose sodium,Dry Eye Syndromes
beta-Endorphin,addict
cefiderocol,Urinary tract infection
dexpanthenol,Paralytic Ileus
epinephrine,Bronchospasm
tiagabine,"Seizures, Focal"
hydrocortisone,Lichen Simplex Chronicus
piperazine phosphate,Enterobiasis
ceftriaxone,Amyotrophic Lateral Sclerosis
amitriptyline,Mixed anxiety and depressive disorder
meclocycline,Trachoma
ciclopirox,Scurfiness of scalp
vericiguat,Ejection Fraction Decreased
cyproheptadine,Allergic Reactions
metformin,Carcinoma breast stage IV
propofol,Glioma
cisplatin,Neoplasm Metastasis
silver,Dermatological Disorders
paclitaxel,Breast Cancer Model
calcium gluconate,Osteoporosis
amiloride,Cystic Fibrosis
menthol,Dermatologic disorders
pamidronate,Rheumatoid Arthritis
estrogens,Tumorigenicity
methyprylon,Sleep Initiation and Maintenance Disorders
cyclosporine,Perianal fistula
resveratrol,Liver damage
Cannabinoids,Neoplasms
cyclophosphamide anhydrous,"Leukemia, Myelocytic, Acute"
hydroxyzine hydrochloride,Anxiety Disorders
chitosan,Burns and Wounds
trovafloxacin,Gonorrhea of rectum
idarubicin,Non-Small Cell Lung Carcinoma
Challenge,Adopted (finding)
mercaptopurine,Ulcerative Colitis
clonidine,Hypertensive emergency
peginterferon alfa-2a,Hepatitis C
dobutamine,Cardiac index
cloxacillin,Osteomyelitis
oxacillin,Bacterial Infections
mica,Rheumatoid Arthritis
prednisone,Lichen Sclerosus
atropine,Bradycardia
Challenge,"Students, Nursing"
cyclophosphamide,Diffuse Scleroderma
vinblastine,Malignant neoplasm of urinary bladder
atropine,Systemic arterial pressure
antimony potassium tartrate,Schistosomiasis
SESTAMIBI,Myocardial Infarction
sulforafan,Autism Spectrum Disorders
methyclothiazide,Liver Cirrhosis
alclometasone,Facial Dermatoses
bacitracin zinc,Staphylococcal Skin Infections
magnesium sulfate,Cerebral Vasospasm
carboxymethylcellulose sodium (0.9 carboxymethyl substitution per saccharide; 130 MPA.S at 4%),Dry Eye Syndromes
fenbendazole,Ruminants
methotrexate,Liver Dysfunction
cefotaxime sodium,Klebsiella Infections
icosapent ethyl,Cardiovascular Diseases
piroxicam,Soft Tissue Injuries
estradiol,Falls
haloperidol,ICU Agitation
silodosin,Prostatic Hypertrophy
"heparin, bovine",Thrombophlebitis
ivermectin,Bison
citalopram,Panic Disorder
aspirin,Arthralgia
amitriptyline,Tension Headache
dihydroergocornine mesylate,Postpartum Hemorrhage
dexamethasone,Nasal Polyp
thiopental sodium,Status Epilepticus
dantrolene,Atrial Fibrillation
methylprednisolone,Glomerulonephritis
oxytetracycline,Klebsiella Infections
oxymetazoline,Epistaxis
omega-3 polyunsaturated fatty acids,Dietary Supplementation
erythromycin stearate,Staphylococcal Infections
epirubicin,Multiple Myeloma
methylphenidate,Narcolepsy
trifluridine,"Keratoconjunctivitis, Infectious"
triptolide,"Leukemia, Myelocytic, Acute"
incobotulinumtoxinA,Strabismus
amineptin,Depressive disorder
testosterone,Oligospermia
vancomycin hydrochloride,Bacterial Infections
vinblastine,Germ Cell Cancer
ramipril,Cerebrovascular accident
tulathromycin,Cattle Diseases
metronidazole,Endocarditis
sulforafan,Malignant neoplasm of urinary bladder
nilutamide,Metastatic Prostate Carcinoma
milnacipran,Chronic pain
levocarnitine,Acute myocardial infarction
clotiazepam,Anxiety Disorders
tamoxifen,Metastatic malignant neoplasm to brain
sulfisoxazole diolamine,Otitis Media
lorazepam,Vomiting
deslanoside,Heart failure
lanthanum carbonate,Hyperphosphatemia of Renal Failure
rosuvastatin,Arteriosclerosis
rituximab,Microscopic Polyarteritis
PVB Regimen,Malignant Testicular Germ Cell Tumor
hydrocortisone aceponate,Facial Dermatoses
indomethacin sodium trihydrate,Degenerative polyarthritis
ketoconazole,"Leishmaniasis, Visceral"
atorvastatin,Myalgia
doxycycline anhydrous,"Pneumonia, Bacterial"
isosorbide dinitrate,Spasm
metformin,Glucose increased
gonadorelin,Cryptorchidism
levetiracetam,Hyperekplexia
lidocaine,Equus asinus
nifedipine,Tension
amlodipine,Essential Hypertension
gabapentin,Mood Disorders
"insulin, regular, pork","Diabetes Mellitus, Insulin-Dependent"
Cannabinoids,Multiple symptoms
leptin,"Hepatitis C, Chronic"
isavuconazole,Aspergillosis
ifosfamide,Non-Small Cell Lung Carcinoma
gatifloxacin anhydrous,Pyelonephritis
fluorouracil,Colon cancer recurrent
cefprozil,Otitis Media
baricitinib,Rheumatoid Arthritis
